S. No.,Monthly Rent,,Mean,,,,Standard deviation
1,44000,,45571,,2468041,,7457.521851
2,49800,,,,17884441,,
3,45400,,,,29241,,
4,40700,,,,23726641,,
5,43900,,,,2792241,,
6,46400,,,,687241,,
7,31000,,,,212314041,,
8,45000,,,,326041,,
9,37300,,,,68409441,,
10,42900,,,,7134241,,
11,36600,,,,80478841,,
12,43100,,,,6105841,,
13,40900,,,,21818241,,
14,44800,,,,594441,,
15,34200,,,,129299641,,
16,38700,,,,47210641,,
17,38900,,,,44502241,,
18,32200,,,,178783641,,
19,44600,,,,942841,,
20,43800,,,,3136441,,
21,42600,,,,8826841,,
22,48600,,,,9174841,,
23,35100,,,,109641841,,
24,38300,,,,52867441,,
25,51200,,,,31685641,,
26,45500,,,,5041,,
27,52600,,,,49406841,,
28,58600,,,,169754841,,
29,46900,,,,1766241,,
30,43100,,,,6105841,,
31,50600,,,,25290841,,
32,42500,,,,9431041,,
33,58200,,,,159491641,,
34,48100,,,,6395841,,
35,55000,,,,88906041,,
36,59800,,,,202464441,,
37,44600,,,,942841,,
38,41400,,,,17397241,,
39,46900,,,,1766241,,
40,51700,,,,37564641,,
41,48800,,,,10426441,,
42,41300,,,,18241441,,
43,41700,,,,14984641,,
44,54300,,,,76195441,,
45,47800,,,,4968441,,
46,40500,,,,25715041,,
47,58900,,,,177662241,,
48,41100,,,,19989841,,
49,51100,,,,30569841,,
50,43400,,,,4713241,,
51,43900,,,,2792241,,
52,44200,,,,1879641,,
53,42600,,,,8826841,,
54,40000,,,,31036041,,
55,30900,,,,215238241,,
56,46500,,,,863041,,
57,32700,,,,165662641,,
58,33600,,,,143304841,,
59,49400,,,,14661241,,
60,31900,,,,186896241,,
61,45400,,,,29241,,
62,48700,,,,9790641,,
63,44900,,,,450241,,
64,45300,,,,73441,,
65,49200,,,,13169641,,
66,37100,,,,71757841,,
67,30100,,,,239351841,,
68,36000,,,,91604041,,
69,49400,,,,14661241,,
70,43900,,,,2792241,,
71,42300,,,,10699441,,
72,49700,,,,17048641,,
73,34400,,,,124791241,,
74,59600,,,,196812841,,
75,57800,,,,149548441,,
76,58600,,,,169754841,,
77,45400,,,,29241,,
78,51900,,,,40056241,,
79,55400,,,,96609241,,
80,49500,,,,15437041,,
81,58900,,,,177662241,,
82,41600,,,,15768841,,
83,55000,,,,88906041,,
84,50400,,,,23319241,,
85,49600,,,,16232841,,
86,59800,,,,202464441,,
87,46900,,,,1766241,,
88,53900,,,,69372241,,
89,44800,,,,594441,,
90,53100,,,,56685841,,
91,41400,,,,17397241,,
