Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default P(X),Loss (X),X.P(X),Expected loss,,,,
1,11.5,20.00%,0.007,920000,6440,49339131.44,,,0,
2,0.24,5.10%,0.0033,22776,75.1608,,,49339131.44,,
3,0.04,24.86%,0.0022,3005.6,6.61232,,,,,
4,13.81,2.29%,0.0066,1349375.1,8905.87566,,,,,
5,19.84,3.47%,0.002,1915155.2,3830.3104,,,,,
6,20.61,20.84%,0.0002,1631487.6,326.29752,,,,,
7,24.9,34.91%,0.0089,1620741,14424.5949,,,,,
8,18.76,36.44%,0.0059,1192385.6,7035.07504,,,,,49339131.44
9,10.23,39.59%,0.0026,617994.3,1606.78518,,,,,
10,19.55,25.11%,0.0008,1464099.5,1171.2796,,,,,
11,1.14,33.29%,0,76049.4,0,,,,,
12,6.4,37.34%,0.0034,401024,1363.4816,,,,,
13,21.45,37.22%,0.0072,1346631,9695.7432,,,,,
14,8.17,12.91%,0.005,711525.3,3557.6265,,,,,
15,15.73,14.68%,0.0056,1342083.6,7515.66816,,,,,
16,8.73,37.14%,0.0059,548767.8,3237.73002,,,,,
17,24.02,39.85%,0.0029,1444803,4189.9287,,,,,
18,11.92,26.54%,0.0064,875643.2,5604.11648,,,,,
19,15.78,16.66%,0.0041,1315105.2,5391.93132,,,,,
20,0.04,10.34%,0.0043,3586.4,15.42152,,,,,
21,24.73,15.51%,0.0046,2089437.7,9611.41342,,,,,
22,7.49,16.67%,0.0004,624141.7,249.65668,,,,,
23,20.15,9.45%,0.0041,1824582.5,7480.78825,,,,,
24,2.92,26.40%,0.0041,214912,881.1392,,,,,
25,0.3,32.34%,0.0039,20298,79.1622,,,,,
26,1.95,12.78%,0.0016,170079,272.1264,,,,,
27,10.57,28.81%,0.0063,752478.3,4740.61329,,,,,
28,19.41,30.77%,0.0099,1343754.3,13303.16757,,,,,
29,16.09,22.67%,0.0022,1244239.7,2737.32734,,,,,
30,5.65,32.08%,0.0067,383748,2571.1116,,,,,
31,1.13,8.87%,0.0068,102976.9,700.24292,,,,,
32,17.07,27.81%,0.0089,1232283.3,10967.32137,,,,,
33,2.93,3.48%,0.0041,282803.6,1159.49476,,,,,
34,21.87,30.66%,0.0045,1516465.8,6824.0961,,,,,
35,18.92,31.15%,0.0007,1302642,911.8494,,,,,
36,22.8,23.28%,0.0048,1749216,8396.2368,,,,,
37,10.8,19.95%,0.0042,864540,3631.068,,,,,
38,24.74,13.13%,0.0037,2149163.8,7951.90606,,,,,
39,6.76,15.65%,0.0074,570206,4219.5244,,,,,
40,6.51,16.35%,0.0004,544561.5,217.8246,,,,,
41,24.33,33.94%,0.0036,1607239.8,5786.06328,,,,,
42,21.01,19.86%,0.0078,1683741.4,13133.18292,,,,,
43,13.57,17.00%,0.0079,1126310,8897.849,,,,,
44,8.97,37.63%,0.0023,559458.9,1286.75547,,,,,
45,3.15,16.53%,0.003,262930.5,788.7915,,,,,
46,13.56,22.41%,0.0053,1052120.4,5576.23812,,,,,
47,10.71,22.36%,0.0094,831524.4,7816.32936,,,,,
48,22.29,35.08%,0.0053,1447066.8,7669.45404,,,,,
49,4.64,32.95%,0.0034,311112,1057.7808,,,,,
50,17.47,4.95%,0.0011,1660523.5,1826.57585,,,,,
51,2.72,33.41%,0.0049,181124.8,887.51152,,,,,
52,16.88,25.82%,0.0068,1252158.4,8514.67712,,,,,
53,14.49,15.06%,0.0026,1230780.6,3200.02956,,,,,
54,24.87,24.81%,0.0092,1869975.3,17203.77276,,,,,
55,0.07,38.55%,0.0053,4301.5,22.79795,,,,,
56,10.16,0.63%,0.0096,1009599.2,9692.15232,,,,,
57,21.21,16.14%,0.0082,1778670.6,14585.09892,,,,,
58,18.04,31.02%,0.0095,1244399.2,11821.7924,,,,,
59,2.16,26.35%,0.0046,159084,731.7864,,,,,
60,2.16,13.67%,0.0065,186472.8,1212.0732,,,,,
61,8.76,30.03%,0.0093,612937.2,5700.31596,,,,,
62,14.57,28.67%,0.005,1039278.1,5196.3905,,,,,
63,14.9,10.44%,0.0076,1334444,10141.7744,,,,,
64,4.56,37.78%,0.0075,283723.2,2127.924,,,,,
65,2.28,21.66%,0.0004,178615.2,71.44608,,,,,
66,13.69,26.56%,0.0061,1005393.6,6132.90096,,,,,
67,20.74,5.91%,0.0061,1951426.6,11903.70226,,,,,
68,7.14,15.40%,0.0032,604044,1932.9408,,,,,
69,22.9,26.81%,0.0071,1676051,11899.9621,,,,,
70,20.82,1.78%,0.005,2044940.4,10224.702,,,,,
71,14.48,14.52%,0.0015,1237750.4,1856.6256,,,,,
72,6.49,38.49%,0.0082,399199.9,3273.43918,,,,,
73,9.03,36.63%,0.0088,572231.1,5035.63368,,,,,
74,4.75,0.27%,0.01,473717.5,4737.175,,,,,
75,4.02,33.34%,0.008,267973.2,2143.7856,,,,,
76,23.17,35.19%,0.0048,1501647.7,7207.90896,,,,,
77,17.36,20.99%,0.0021,1371613.6,2880.38856,,,,,
78,6.49,12.11%,0.0075,570406.1,4278.04575,,,,,
79,12.87,2.07%,0.0047,1260359.1,5923.68777,,,,,
80,1.79,22.74%,0.0091,138295.4,1258.48814,,,,,
81,16.23,17.00%,0.0074,1347090,9968.466,,,,,
